city,deposit_difference
Houston,37149291
"New York City",31687570
Chicago,17992604
Detroit,12724043
"Salt Lake City",8824071
"Los Angeles",5938570
Phoenix,4748365
"San Francisco",4741844
Brooklyn,4099729
Seattle,2578889
Miami,2161052
Dallas,2067198
Indianapolis,2034079
Austin,1702945
"San Diego",1688887
Milwaukee,1436557
"San Jose",1200614
"Baton Rouge",1194186
Rochester,1010186
Louisville,988778
Columbus,849957
Winnetka,794519
Bronx,776458
Cincinnati,762113
"Boca Raton",741070
Irvine,726006
Scottsdale,706969
Plano,685805
Madison,668919
Orlando,656891
"Las Vegas",628516
"Fort Worth",594707
Boulder,587615
Tucson,562993
Portland,553556
"Santa Monica",537971
Bellevue,526899
"Ann Arbor",523002
Mesa,517727
"Staten Island",511106
"Park Ridge",480698
Hollywood,470491
Shreveport,468762
"The Woodlands",455110
Flushing,454749
"Mount Prospect",444741
Arcadia,444500
Reynoldsburg,435631
Irving,434400
"Grand Rapids",433413
"Hacienda Heights",430480
Sunnyvale,424318
Lafayette,423859
Arlington,419690
Fremont,416341
"Sugar Land",412054
"San Antonio",406142
Glendale,400864
"Palo Alto",396897
Richardson,392981
Evanston,387822
Dublin,380315
Sacramento,379865
Cleveland,377722
Aurora,377607
"Beverly Hills",376917
Bloomington,375470
Scarsdale,375354
Torrance,374309
Oakland,370137
"Great Neck",366940
Cupertino,356702
"Mountain View",356390
"Long Beach",353928
Huntington,353715
Alhambra,351849
"White Plains",346554
Aventura,340951
"New Orleans",336885
Pasadena,335645
Lakewood,335543
"Miami Beach",331400
Naperville,330428
Katy,326902
Troy,323931
"Arlington Hts.",320710
Carmel,317934
"Fort Wayne",309239
Glenview,307333
Tempe,302326
Garland,299564
Lexington,289289
"Oklahoma City",287410
Monroe,286263
Northridge,285622
Yonkers,283485
"Sunny Isles Beach",276315
Burbank,271003
Schaumburg,269555
Atlanta,269232
Ridgewood,268961
Canton,267729
"Grosse Pointe",266658
"West Lafayette",256517
Bloomingdale,253527
Flint,253397
Hewlett,253211
Encino,251547
"Walnut Creek",249936
"Newport Beach",249688
"Temple City",248335
Akron,244002
Willowbrook,243786
Westminster,238648
Champaign,233327
Fairfield,232979
"LA Jolla",230632
Bedford,230405
Corona,230034
Hialeah,226401
Niles,225855
Larchmont,224106
Kingwood,222016
"Palm Beach Gardens",221029
"Rochester Hills",217271
Deerfield,215933
"Huntington Beach",215324
Temecula,214071
"Santa Clara",212903
Englewood,212005
"West Palm Beach",210957
"Lake Zurich",210521
Chandler,209945
Libertyville,209192
Riverside,208525
Greenwich,206628
Frisco,206436
"St. Charles",206196
Monsey,205500
"Sherman Oaks",202907
"Oak Park",202870
Hicksville,200551
Wilmette,199444
"Dana Point",198919
Lansing,198703
"Bloomfield Hills",197748
"Mission Viejo",197584
"Studio City",195947
Southampton,195874
Venice,195724
Spring,192553
Secaucus,191396
"Santa Ana",191080
"Santa Barbara",190637
"Diamond Bar",190113
"Downers Grove",189517
Tustin,189478
Peoria,189182
Skokie,188526
Salinas,188199
Kenosha,187323
"Morris Plains",186897
Syosset,186295
Denver,185140
Dearborn,184677
"Monterey Park",184541
"Manhattan Beach",182802
Henderson,182639
Carlsbad,181958
"New Rochelle",180972
"Lake Forest",180829
Morristown,180520
Cypress,180069
Houma,179777
Cerritos,178912
"El Paso",177070
Milpitas,176921
Woodridge,176808
Berkeley,176801
"Lake Worth",176152
"Orland Park",175489
Metairie,174620
"Farmington Hills",173630
"Westlake Village",173074
Calabasas,171983
"Garden Grove",171197
Sarasota,170759
"Daly City",170422
"Culver City",169986
"Santa Rosa",168705
Fresno,168543
Elgin,168291
Saginaw,166148
"Fountain Valley",165959
Vancouver,165881
Hinsdale,165704
Mamaroneck,165037
Tulsa,164630
"San Leandro",163742
"Laguna Niguel",163424
"Coral Gables",162933
"Chino Hills",162128
"Elk Grove",161908
"Oak Brook",161256
Rye,160967
"San Mateo",160905
"Garden City",159319
Warren,158339
Appleton,157620
Colleyville,156918
Tarzana,154407
"West Covina",154337
"Union City",153620
Carrollton,153235
Elkhart,152711
Batavia,152045
"Port Washington",150775
Montclair,150451
"Deer Park",148734
"Fort Collins",148407
Northville,147762
Dayton,147426
Orem,147208
Plainview,146687
Ventura,146347
Syracuse,146145
Ridgefield,146053
"Coral Springs",145798
"Granada Hills",145480
"San Gabriel",145182
"North Hollywood",144979
Jamaica,144938
Redmond,143720
Naples,142904
"Sterling Heights",142677
Westerville,142326
Mansfield,142243
"Carol Stream",142125
Salem,141683
Edgewater,141554
"Forest Hills",141447
"El Cajon",141227
Lewisville,140875
"South Richmond Hill",140534
Plymouth,139550
Brookfield,138916
Wheaton,138392
Metuchen,138233
"Flower Mound",138199
"Buffalo Grove",137729
"Rancho Cucamonga",137716
"Fort Lee",137487
Gilbert,137122
"Yorba Linda",136979
"West Bloomfield",136832
"San Marino",136689
Smithtown,136559
"New City",136545
Nogales,136537
Bayside,136035
Valparaiso,135990
Orange,135986
Bensenville,135967
Edmond,135860
Medford,135180
"San Clemente",134528
"Valley Stream",133157
Tampa,132924
Pleasanton,132546
"Auburn Hills",131616
Upland,131382
Gahanna,130946
Brea,130876
Millbrae,130520
"Colorado Springs",130160
"Huntington Station",129916
Fullerton,129386
Beaverton,129378
"South Pasadena",129342
"Rye Brook",129221
Davis,129191
Miramar,129166
Norridge,128333
Astoria,127788
"Agoura Hills",127512
"LA Grange",126559
"Shelby Township",126473
"Lake Charles",125888
Littleton,124898
"Imperial Beach",124669
Valencia,124451
"Van Nuys",124055
Yuma,123745
"Fort Lauderdale",123739
"East Farmingdale",123651
"Los Altos",123435
"Corte Madera",123431
Poughkeepsie,122871
Novi,122400
"Aliso Viejo",122309
Fontana,121998
Muncie,121939
Allen,121918
Whitestone,121429
Hawthorne,121169
Friendswood,121070
"Woodland Hills",120801
"Jackson Heights",120793
"Jersey City",120361
Westfield,120194
"Hoffman Estates",120149
Elmhurst,119837
Nanuet,119829
Randolph,119464
Alameda,119321
"Dearborn Heights",119193
Maspeth,119004
Livonia,118842
Centerville,118726
"Boynton Beach",118706
Mandeville,118272
"Pacific Palisades",118251
"West Babylon",117909
"Highland Park",117268
"Fair Lawn",117089
"East Meadow",116966
Lyndhurst,116440
Lima,116098
Downey,115954
Stamford,115758
"Huntington Woods",115754
Issaquah,115558
Boise,115531
Kirkland,115354
Springfield,114629
Clarkston,113539
"San Bruno",113113
Loveland,113098
Lemont,112673
Campbell,112472
Encinitas,111910
Greenvale,111683
Hauppauge,111415
Renton,111232
Novato,111220
Paramus,109845
Pinecrest,109736
Edison,109454
Franklin,109453
"Marina Del Rey",109272
Plantation,109130
Frankfort,109087
Bakersfield,108906
"Grand Prairie",108895
Bend,108782
Bronxville,108637
"Redwood City",108605
Anaheim,108075
"Traverse City",108071
"San Carlos",108004
Westport,107825
"Laguna Hills",107705
Palatine,107248
Coronado,107116
Tarrytown,106995
Melville,106862
"Coconut Creek",106691
Sedona,106639
"Los Gatos",106441
Gurnee,106045
Orangeburg,105194
Coppell,105154
"Round Rock",104860
Berwyn,104448
"Redondo Beach",104144
Montrose,102410
Marysville,102398
Surfside,102007
"Clinton Township",101836
"San Ramon",101796
Manhasset,101166
Waukesha,100821
"Missouri City",100627
Richmond,99969
Napa,99951
Bolingbrook,99439
"Rolling Hills",99161
"Thousand Oaks",98785
"Yorktown Heights",98563
Teaneck,98399
"Pembroke Pines",98393
Highland,98292
"West Hills",98266
"New Haven",97954
"Gig Harbor",97767
"Arlington Heights",97759
"Buena Park",97583
Newark,97464
"Palisades Park",97184
Summit,96955
"LA Mirada",96949
Waterford,96242
Hoboken,96212
Sunrise,95849
"Castro Valley",95126
"El Centro",94924
Airmont,94600
Munster,94544
"Hickory Hills",94376
Webster,93703
"Sierra Vista",93690
Croton-On-Hudson,93592
"Deerfield Beach",93339
Melbourne,93008
Azusa,92908
"LA Canada",92514
"Del Mar",92372
"West Jordan",92291
Denton,91125
"East Rutherford",91064
"Bay Shore",90937
Carson,90772
Escondido,90744
Kissimmee,90648
"Miami Lakes",90535
"East Hampton",90489
Fairport,90441
Weston,90257
"Highlands Ranch",90038
"Porter Ranch",89753
"Green Bay",89567
Clermont,89390
"Cooper City",89389
Palmdale,89277
Urbana,89203
Stockton,89114
"Orchard Lake",89037
Livermore,88904
Portage,88767
Shorewood,88699
Oxford,88636
Commack,88606
Northfield,88553
Pearland,88403
Sunnyside,88325
Whittier,88187
"Foster City",87898
"Pompano Beach",87848
"LA Habra",87836
"Cleveland Heights",87822
Modesto,87247
Prescott,87209
Brighton,87017
Millwood,86836
Concord,86448
"Schiller Park",86343
"Seal Beach",86239
Somers,86225
"LA Mesa",85759
Fishers,85757
"Oakland Park",85755
"New Canaan",85371
Lindenhurst,85247
Fenton,85058
Greenbrae,84833
Farmington,84677
Greenwood,84653
"Lake Havasu City",84554
Noblesville,84373
Burlingame,84326
"Greenwood Village",84271
Ronkonkoma,84122
Odessa,83280
Sandy,83201
Chappaqua,83107
Jupiter,82781
Wapakoneta,82342
Riverwoods,82241
Riverhead,82156
Oceanside,81717
"Oak Lawn",81360
Malibu,81073
"Massapequa Park",80913
Murphy,80771
"Port Saint Lucie",80527
"North Miami Beach",80481
Northbrook,80449
Danville,80387
"Federal Way",80360
Powell,80348
"Menlo Park",80149
Peekskill,79907
Keller,79720
Westlake,79640
"River Edge",79568
"San Pedro",79216
Davison,79176
Provo,79142
"San Juan Capistrano",79133
"Short Hills",78723
"Altamonte Springs",78567
Camarillo,78560
Ardsley,78275
Bothell,77422
Clovis,77166
"Pinellas Park",76932
Conroe,76833
"Bedford Hills",76640
Sammamish,76623
Bonita,76485
Sparta,76460
Murray,76351
"Grass Valley",76026
Edmonds,75585
Murrieta,75345
Euless,74659
Ashland,74656
Merrick,74645
"Glen Oaks",74413
"Morgan Hill",74404
"Spring Valley",74312
Marietta,74283
Clifton,74112
Antioch,74060
"San Marcos",73925
Lynnwood,73743
Garfield,73081
"El Segundo",72640
Bellaire,72507
Visalia,71723
Chatsworth,71428
"Kew Gardens",70821
Southfield,70797
Parsippany,70786
Folsom,70716
Eugene,70663
"Chula Vista",70463
Carefree,70156
"Canoga Park",69770
Eastchester,69530
Roswell,69346
"Lake Orion",69323
Rutherford,69198
"Winter Park",69089
Wellington,69047
"Rancho Mirage",68854
"Crystal Lake",68676
"Spring Hill",68619
Beachwood,68453
Brentwood,68441
Brewster,68438
"Sun Valley",68430
Middletown,67391
Alexandria,67381
Hesperia,67243
Glendora,67119
Selden,67102
Bellflower,66775
Chico,66707
Lodi,66497
Hartsdale,66490
Wauconda,66357
"South Bend",66259
"Rancho Santa Margarita",66106
Fredericksburg,65933
Plainfield,65932
Belleville,65719
"West Caldwell",65578
Riverdale,65192
Wayne,64960
Medina,64949
Athens,64865
"Old Bridge",64862
"Costa Mesa",64602
"San Rafael",64570
Claremont,64408
Avondale,64386
"North Massapequa",64356
Sayville,64218
Zionsville,64056
Oxnard,63920
Worthington,63906
"Sierra Madre",63901
"Moreno Valley",63848
"Lake Oswego",63817
Eagle,63305
Pittsford,63103
"San Luis Obispo",62920
"New Brunswick",62842
Kent,62836
Monrovia,62811
Addison,62791
Vista,62781
Islip,62743
Mckinney,62480
Mesquite,62479
"East Elmhurst",62254
"Los Alamitos",62210
Bohemia,62013
"Wesley Chapel",61959
Fallbrook,61691
Longview,61687
"Bossier City",61441
Nyack,61435
"Portola Valley",61402
Bellmore,61087
"Commerce Township",60988
Auburn,60952
"Mount Vernon",60667
Farmingville,60513
"North Canton",60164
"San Dimas",59762
Redford,59666
Hackensack,59582
Tracy,59487
"Paso Robles",59442
Independence,59434
"Pico Rivera",59388
"El Cerrito",59288
Hazlet,59150
Wantagh,59054
Findlay,58933
Spokane,58910
Stratford,58895
Eastvale,58839
"Canyon Country",58637
"Pleasant Hill",58336
Gilroy,58010
Westbury,57974
Beavercreek,57915
"Hopewell Junction",57820
"Farmers Branch",57769
"El Monte",57739
"Highland Village",57553
Twinsburg,57548
Hammond,57393
Westland,57305
"LA Puente",57130
Owensboro,57068
"East Hanover",56976
"Upper Montclair",56951
"Middle Village",56908
Hillsboro,56863
Marion,56848
Mukilteo,56844
Tomball,56502
Liverpool,56471
Racine,56423
"Cave Creek",56205
"Simi Valley",56025
Hudson,55729
Reseda,55703
Alpine,55420
Kenner,55354
"Kings Park",55097
"LA Quinta",55087
"Melrose Park",55029
"Bainbridge Island",54999
Newburgh,54976
Wildomar,54857
Covington,54843
Kingston,54734
"Delray Beach",54247
"Green Valley",54182
Copiague,54093
"East Northport",54063
Harahan,53958
Arvada,53947
Strongsville,53931
"Lewis Center",53630
Oviedo,53427
Flagstaff,53422
"Foothill Ranch",53383
Manasquan,53135
"St. John",53046
"Lake In The Hills",53031
Norwalk,52722
Babylon,52586
"Rockaway Park",52473
"Florham Park",52264
"Panorama City",52193
Greeley,52185
Huntley,52100
"Casa Grande",51448
"Winter Springs",51202
"Mercer Island",51043
Redlands,50819
"Newbury Park",50804
Mequon,50764
Midland,50751
Germantown,50723
Turlock,50656
Hastings-On-Hudson,50499
Watauga,50485
"Fountain Hills",50306
Hayward,50053
Katonah,49936
"New Berlin",49924
Monticello,49886
Chardon,49869
"Sun City West",49733
"West Islip",49582
Alpharetta,49482
Emeryville,49392
"LA Crescenta",49119
Newcastle,49013
"Walled Lake",48971
Norman,48910
"Rocky Point",48903
Rowlett,48893
"Pepper Pike",48844
Woodinville,48828
Newtown,48814
Saugus,48748
"Dobbs Ferry",48724
Dover,48694
"Ladera Ranch",48585
"Brownstown Township",48583
Bellingham,48578
Verona,48550
Tujunga,48519
"Mount Sinai",48508
Wauwatosa,48311
Garnerville,48293
Poway,48170
"Crown Point",48121
Lapeer,47889
"Arroyo Grande",47875
"Ozone Park",47604
Mentor,47537
Florence,47512
Northport,47393
"Show Low",47303
Puyallup,47242
Lancaster,47164
"Rohnert Park",47122
Bellport,46942
Montebello,46865
Jacksonville,46816
Painesville,46812
Milford,46727
Roseville,46606
Joliet,46526
Harvey,46360
Bountiful,46359
Hollis,46287
"Mount Kisco",46230
"Merritt Island",46226
Clearwater,46218
Hollister,46127
"Valley Cottage",46098
Decatur,45875
Apopka,45771
